id;UNIDAD;MUNICIPIO;Match_addr;ARC_Street;CODIGO;PERIODO;DIRECCION;Delito;x;y
1;MEBOG;Bogota;CL 79-30 2, BOGOTA;CL 79 KR 30;110553830;2010;CL 79 KR 30;h_personas;-74,05990249;4,671083583
2;MEBOG;Bogota;CL 26-13A 2, BOGOTA;CL 26 KR 13 A;110553831;2010;CL 26 KR 13 A;h_personas;-74,06609874;4,614552462
3;MEBOG;Bogota;KR 56-129 2, BOGOTA;KR 56 CL 129;110553832;2010;KR 56 CL 129;h_personas;-74,06696736;4,719435204
4;MEBOG;Bogota;KR 8-22 S 2, BOGOTA;KR 8 CL 22 SUR;110553833;2010;KR 8 CL 22 SUR;h_personas;-74,08872743;4,573134125
5;MEBOG;Bogota;KR 3A-182C 48, BOGOTA;KR 3 A CL 182 C 48;110553836;2010;KR 3 A CL 182 C 48;h_personas;-74,01780766;4,760973672
6;MEBOG;Bogota;CL 174-7 80, BOGOTA;CL 174 KR 7 80;110553839;2010;CL 174 KR 7 80;h_personas;-74,02047153;4,75372427
7;MEBOG;Bogota;CL 19-3 2, BOGOTA;CL 19 AK 3;110553841;2010;CL 19 AK 3;h_personas;-74,06259614;4,603634281
8;MEBOG;Bogota;KR 97F-34A S 40, BOGOTA;KR 97 F CL 34 A 40 SUR;110553842;2010;KR 97 F CL 34 A 40 SUR;h_personas;-74,16685002;4,649720115
9;MEBOG;Bogota;CL 5-3 2, BOGOTA;CL 5 KR 3;110553843;2010;CL 5 KR 3;h_personas;-74,06893095;4,591190018
10;MEBOG;Bogota;KR 78L-58 S 2, BOGOTA;KR 78 L CL 58 SUR;110553844;2010;KR 78 L CL 58 SUR;h_personas;-74,1700697;4,608504402
11;MEBOG;Bogota;CL 136A-124C 48, BOGOTA;CL 136 A KR 124 48;110553845;2010;CL 136 A KR 124 48;h_personas;-74,10123498;4,74322852
12;MEBOG;Bogota;KR 91-123 2, BOGOTA;KR 91 CL 123;110553846;2010;KR 91 CL 123;h_personas;-74,08417498;4,723108912
13;MEBOG;Bogota;CL 42A-92 S 2, BOGOTA;CL 42 A SUR KR 92;110553847;2010;CL 42 A SUR KR 92;h_personas;-74,16159062;4,628445033
14;MEBOG;Bogota;CL 98-9 61, BOGOTA;CL 98 KR 9 61;110553848;2010;CL 98 KR 9 61;h_personas;-74,03647311;4,680660029
15;MEBOG;Bogota;KR 55-170A 2, BOGOTA;KR 55 CL 170 A;110553853;2010;KR 55 CL 170 A;h_personas;-74,04899281;4,754244259
16;MEBOG;Bogota;KR 78A-6B 28, BOGOTA;KR 78 A CL 6 B 28;110553855;2010;KR 78 A CL 6 B 28;h_personas;-74,13962333;4,633028965
17;MEBOG;Bogota;CL 127C-91A 4, BOGOTA;CL 127 C KR 91 A 4;110553857;2010;CL 127 C KR 91 A 4;h_personas;-74,08602904;4,719526088
18;MEBOG;Bogota;CL 114-3 1, BOGOTA;CL 114 KR 3;110553858;2010;CL 114 KR 3;h_personas;-74,0240955;4,691344859
19;MEBOG;Bogota;CL 114-3 1, BOGOTA;CL 114 KR 3;110553859;2010;CL 114 KR 3;h_personas;-74,0240955;4,691344859
20;MEBOG;Bogota;CL 114-3 1, BOGOTA;CL 114 KR 3;110553860;2010;CL 114 KR 3;h_personas;-74,0240955;4,691344859
21;MEBOG;Bogota;CL 114-3 1, BOGOTA;CL 114 KR 3;110553861;2010;CL 114 KR 3;h_personas;-74,0240955;4,691344859
22;MEBOG;Bogota;CL 63-13 2, BOGOTA;CL 63 KR 13;110553862;2010;CL 63 KR 13;h_personas;-74,05784045;4,649933596
23;MEBOG;Bogota;CL 166-22 2, BOGOTA;CL 166 KR 22;110553863;2010;CL 166 KR 22;h_personas;-74,03975258;4,747496713
24;MEBOG;Bogota;CL 44-54 2, BOGOTA;CL 44 KR 54;110553865;2010;CL 44 KR 54;h_personas;-74,08645974;4,645766952
25;MEBOG;Bogota;CL 55-29 S 44, BOGOTA;CL 55 SUR KR 29 44;110553866;2010;CL 55 SUR KR 29 44;h_personas;-74,13487487;4,580458873
26;MEBOG;Bogota;CL 62-71H S 2, BOGOTA;CL 62 SUR KR 71 H;110553867;2010;CL 62 SUR KR 71 H;h_personas;-74,16039395;4,591368786
27;MEBOG;Bogota;TV 5-49 S 2, BOGOTA;TR 5 CL 49 SUR;110553868;2010;TR 5 CL 49 SUR;h_personas;-74,10556899;4,547804797
28;MEBOG;Bogota;CL 10-86 90, BOGOTA;CL 10 KR 86 90;110553869;2010;CL 10 KR 86 90;h_personas;-74,13905615;4,647218949
29;MEBOG;Bogota;CL 22-16 S 2, BOGOTA;CL 22 SUR SUR KR 16;110553870;2010;CL 22 SUR SUR KR 16;h_personas;-74,0973368;4,582386177
30;MEBOG;Bogota;CL 93-11 2, BOGOTA;CL 93 KR 11;110553871;2010;CL 93 KR 11;h_personas;-74,04201834;4,674910471
31;MEBOG;Bogota;CL 93-11 2, BOGOTA;CL 93 KR 11;110553872;2010;CL 93 KR 11;h_personas;-74,04201834;4,674910471
32;MEBOG;Bogota;DG 39-5 46, BOGOTA;DG 39 NORTE KR 5 46 ESTE;110553873;2010;DG 39 NORTE KR 5 46 ESTE;h_personas;-74,05894162;4,62553936
33;MEBOG;Bogota;KR 3-51 2, BOGOTA;AK 3 CL 51;110553874;2010;AK 3 CL 51;h_personas;-74,05404653;4,636169651
34;MEBOG;Bogota;KR 70-64 1, BOGOTA;KR 70 CL 64;110553875;2010;KR 70 CL 64;h_personas;-74,09416829;4,678795921
35;MEBOG;Bogota;KR 79-35 S 2, BOGOTA;KR 79 CL 35 SUR;110553876;2010;KR 79 CL 35 SUR;h_personas;-74,1451323;4,626395168
36;MEBOG;Bogota;KR 79-35 S 2, BOGOTA;KR 79 CL 35 SUR;110553877;2010;KR 79 CL 35 SUR;h_personas;-74,1451323;4,626395168
37;MEBOG;Bogota;CL 74B-69 2, BOGOTA;CL 74 B KR 69 P 55;110553878;2010;CL 74 B KR 69 P 55;h_personas;-74,0806084;4,683774101
38;MEBOG;Bogota;CL 39-5 2, BOGOTA;CL 39 KR 5;110553880;2010;CL 39 KR 5;h_personas;-74,05834524;4,626729365
39;MEBOG;Bogota;CL 147C-95A 40, BOGOTA;CL 147 C KR 95 A 40;110553881;2010;CL 147 C KR 95 A 40;h_personas;-74,08176748;4,744549956
40;MEBOG;Bogota;CL 72-69 2, BOGOTA;CL 72 KR 69 K 6;110553883;2010;CL 72 KR 69 K 6;h_personas;-74,08732424;4,685942144
41;MEBOG;Bogota;CL 188-12A 8, BOGOTA;CL 188 KR 12 A 8;110553884;2010;CL 188 KR 12 A 8;h_personas;-74,02807452;4,765554168
42;MEBOG;Bogota;DG 22A-68D 90, BOGOTA;DG 22 A KR 68 D 90;110553886;2010;DG 22 A KR 68 D 90;h_personas;-74,10861089;4,654131056
43;MEBOG;Bogota;KR 30-21 2, BOGOTA;KR 30 CL 21;110553887;2010;KR 30 CL 21;h_personas;-74,08101054;4,620450772
44;MEBOG;Bogota;CL 58A-16 46, BOGOTA;CL 58 A KR 16 46;110553888;2010;CL 58 A KR 16 46;h_personas;-74,06230571;4,6461846
45;MEBOG;Bogota;KR 91-145 2, BOGOTA;KR 91 OCCIDENTE CL 145 NORTE;110553889;2010;KR 91 OCCIDENTE CL 145 NORTE;h_personas;-74,07824455;4,742868573
46;MEBOG;Bogota;CL 114-3 1, BOGOTA;CL 114 KR 3;110553891;2010;CL 114 KR 3;h_personas;-74,0240955;4,691344859
47;MEBOG;Bogota;CL 114-3 1, BOGOTA;CL 114 KR 3;110553892;2010;CL 114 KR 3;h_personas;-74,0240955;4,691344859
48;MEBOG;Bogota;CL 114A-45 2, BOGOTA;CL 114 A KR 45;110553893;2010;CL 114 A KR 45;h_personas;-74,05003547;4,698926693
49;MEBOG;Bogota;KR 57-138 34, BOGOTA;KR 57 CL 138 34;110553895;2010;KR 57 CL 138 34;h_personas;-74,05677822;4,729004593
50;MEBOG;Bogota;KR 3-26 2, BOGOTA;AK 3 CL 26;110553896;2010;AK 3 CL 26;h_personas;-74,0596534;4,612028424
51;MEBOG;Bogota;KR 7-17 2, BOGOTA;KR 7 CL 17;110553897;2010;KR 7 CL 17;h_personas;-74,06658021;4,60388998
52;MEBOG;Bogota;CL 15-16 2, BOGOTA;CL 15 KR 16;110553898;2010;CL 15 KR 16;h_personas;-74,0747522;4,606955707
53;MEBOG;Bogota;CL 7-28 S 2, BOGOTA;CL 7 SUR KR 28;110553899;2010;CL 7 SUR KR 28;h_personas;-74,09797793;4,596838574
54;MEBOG;Bogota;KR 42-58A S 2, BOGOTA;KR 42 CL 58 A SUR;110553900;2010;KR 42 CL 58 A SUR;h_personas;-74,14360294;4,57537072
